gsn,date,rake_amount,af_sub1
305607473,20260415,48570250,influencer_001
305607473,20260414,16518625,influencer_001
305607473,20260424,0,influencer_001
305607473,20260423,169500000,influencer_001
305607473,20260504,45000000,influencer_001
305607473,20260421,23100000,influencer_001
305607473,20260422,22500000,influencer_001
305607473,20260508,66000000,influencer_001
305607473,20260509,0,influencer_001
305607473,20260513,33000000,influencer_001
305607473,20260507,197751275,influencer_001
305607473,20260420,10050000,influencer_001
305607473,20260419,171750000,influencer_001
305607473,20260515,49500000,influencer_001
305607473,20260429,1197000,influencer_001
305607473,20260516,0,influencer_001
305607473,20260416,16500000,influencer_001
305607473,20260418,285856375,influencer_001
305607473,20260510,16500000,influencer_001
306205578,20260427,10200000,influencer_001
306205578,20260426,4079597,influencer_001
306205578,20260429,3540000,influencer_001
307341082,20260506,115692921,influencer_001
307341082,20260424,260734220,influencer_001
307341082,20260510,504936637,influencer_001
307341082,20260427,39046000,influencer_001
307341082,20260430,531339875,influencer_001
307341082,20260416,163828500,influencer_001
307341082,20260421,525855000,influencer_001
307341082,20260511,306613920,influencer_001
307341082,20260429,993799750,influencer_001
307341082,20260415,267636962,influencer_001
307341082,20260423,398236500,influencer_001
307341082,20260420,175867000,influencer_001
307341082,20260501,424907000,influencer_001
307341082,20260417,11357000,influencer_001
307341082,20260509,757384630,influencer_001
307341082,20260413,143797000,influencer_001
307341082,20260426,1139420050,influencer_001
307341082,20260515,603675233,influencer_001
307341082,20260414,226824000,influencer_001
307341082,20260504,843374763,influencer_001
307341082,20260507,21000000,influencer_001
307341082,20260428,344355000,influencer_001
307341082,20260425,534600000,influencer_001
307341082,20260517,415915337,influencer_001
307341082,20260422,275670582,influencer_001
307341082,20260505,313375798,influencer_001
307341082,20260513,319424975,influencer_001
307341082,20260514,88360625,influencer_001
307341082,20260419,344150300,influencer_001
307341082,20260508,16500000,influencer_001
307341082,20260503,255922750,influencer_001
307341082,20260512,607650000,influencer_001
307341082,20260516,342864390,influencer_001
307341082,20260502,73250,influencer_001
309147359,20260425,10500000,influencer_001
309147359,20260426,10500000,influencer_001
309147359,20260428,0,influencer_001
309147359,20260414,10500000,influencer_001
309147359,20260513,10500000,influencer_001
309147359,20260429,10500000,influencer_001
309147359,20260419,21000000,influencer_001
309147359,20260423,10500000,influencer_001
309147359,20260427,31500000,influencer_001
309147359,20260506,136500000,influencer_001
309147359,20260424,10500000,influencer_001
309147359,20260514,831469377,influencer_001
309745001,20260426,10500000,influencer_001
309745001,20260505,75000000,influencer_001
309745001,20260509,69300000,influencer_001
309745001,20260425,464838000,influencer_001
309745001,20260422,214071500,influencer_001
309745001,20260511,60000000,influencer_001
309745001,20260414,120000000,influencer_001
309745001,20260420,145705000,influencer_001
309745001,20260427,229061500,influencer_001
309745001,20260424,22960000,influencer_001
309745001,20260512,71640625,influencer_001
309745001,20260418,175587125,influencer_001
309745001,20260514,497532616,influencer_001
309745001,20260423,577274687,influencer_001
309745001,20260416,55500000,influencer_001
309745001,20260513,290100000,influencer_001
309745001,20260517,142705000,influencer_001
309745001,20260415,327856250,influencer_001
309745001,20260417,61533500,influencer_001
309745001,20260502,10500000,influencer_001
309745001,20260507,139772750,influencer_001
309745001,20260421,31500000,influencer_001
309745001,20260508,49887500,influencer_001
309745001,20260510,46500000,influencer_001
309745001,20260429,17200000,influencer_001
309745001,20260428,12375000,influencer_001
309745001,20260516,148500000,influencer_001
309745001,20260515,230875000,influencer_001
309745001,20260419,134071500,influencer_001
309745001,20260504,45000000,influencer_001
309745001,20260506,2785296,influencer_001
309745052,20260420,4747443,influencer_001
309745052,20260425,21513389,influencer_001
309745052,20260503,463000,influencer_001
309745052,20260415,2717000,influencer_001
309745052,20260514,1204745,influencer_001
309745052,20260417,106500000,influencer_001
309745052,20260501,2250000,influencer_001
309745052,20260430,0,influencer_001
309745052,20260516,29330389,influencer_001
309745052,20260515,6600000,influencer_001
309745052,20260421,3861200,influencer_001
309745052,20260508,18129750,influencer_001
309745052,20260511,3861501,influencer_001
309745052,20260429,58731932,influencer_001
309745052,20260512,1880350,influencer_001
309745052,20260416,9362750,influencer_001
309745052,20260505,4350000,influencer_001
309745052,20260419,6413775,influencer_001
309745052,20260506,0,influencer_001
309745052,20260504,140932267,influencer_001
309745052,20260502,20040381,influencer_001
309745052,20260418,6291795,influencer_001
309745052,20260428,50000,influencer_001
309745052,20260509,20200344,influencer_001
309745052,20260422,5792125,influencer_001
309745052,20260513,300000,influencer_001
309745052,20260414,11177125,influencer_001
309745052,20260423,52890000,influencer_001
309745052,20260426,9433803,influencer_001
309745052,20260510,325356,influencer_001
309745052,20260413,6239300,influencer_001
309745052,20260507,15580715,influencer_001
309745106,20260423,12396025,influencer_001
309745106,20260418,0,influencer_001
309745106,20260417,21897554,influencer_001
309745106,20260421,10689750,influencer_001
309745106,20260416,23250,influencer_001
309745106,20260415,32550000,influencer_001
309745106,20260427,244737,influencer_001
309745106,20260414,8500,influencer_001
309745106,20260413,188125,influencer_001
309745106,20260506,3344000,influencer_001
309745106,20260508,32477567,influencer_001
309745106,20260424,336590,influencer_001
309745106,20260422,4024501,influencer_001
309745106,20260505,3280581,influencer_001
309745106,20260426,42600000,influencer_001
309745106,20260428,11726425,influencer_001
309745106,20260504,16644775,influencer_001
309745106,20260501,22423653,influencer_001
309745106,20260509,362200,influencer_001
309745106,20260507,18667437,influencer_001
309745106,20260503,40997415,influencer_001
309745106,20260429,31152949,influencer_001
309745106,20260419,31221529,influencer_001
309745106,20260502,13106653,influencer_001
309745106,20260420,21635700,influencer_001
309745106,20260430,65397325,influencer_001
309745106,20260425,10500000,influencer_001
309745495,20260419,10500000,influencer_001
309745495,20260418,30000,influencer_001
309745560,20260504,10650000,influencer_001
309745771,20260423,120000,influencer_001
309745771,20260420,3300000,influencer_001
309745771,20260430,300000,influencer_001
309745771,20260419,29160000,influencer_001
309745771,20260427,600000,influencer_001
309745771,20260506,4650000,influencer_001
309745771,20260516,240000,influencer_001
309745771,20260517,16500000,influencer_001
309745771,20260426,26400000,influencer_001
309745771,20260425,2460000,influencer_001
309745771,20260515,2250000,influencer_001
309745771,20260421,120000,influencer_001
309745771,20260414,3150000,influencer_001
309745771,20260503,1320000,influencer_001
309745771,20260428,3600000,influencer_001
309745771,20260514,173000,influencer_001
309745771,20260509,675000,influencer_001
309745771,20260502,19500,influencer_001
309745771,20260510,11700000,influencer_001
309745771,20260505,225000,influencer_001
309745771,20260508,1500000,influencer_001
309745771,20260513,7560000,influencer_001
309745771,20260429,6750000,influencer_001
309745771,20260511,10695000,influencer_001
309745771,20260504,12187500,influencer_001
309745771,20260512,8449150,influencer_001
309745771,20260501,337437,influencer_001
309747144,20260415,250,influencer_001
309747144,20260512,10875000,influencer_001
309747144,20260428,538798,influencer_001
309747144,20260426,495525,influencer_001
309747144,20260430,95706,influencer_001
309747144,20260502,66200000,influencer_001
309747587,20260513,315800000,influencer_001
309747587,20260421,143572718,influencer_001
309747587,20260509,87391225,influencer_001
309747587,20260514,95437500,influencer_001
309747587,20260419,69626562,influencer_001
309747587,20260418,21000000,influencer_001
309747587,20260503,282000000,influencer_001
309747587,20260416,78000000,influencer_001
309747587,20260423,294000000,influencer_001
309747587,20260420,209461800,influencer_001
309747587,20260415,66000000,influencer_001
309747587,20260515,145713000,influencer_001
309747587,20260424,231619465,influencer_001
309747587,20260422,214200000,influencer_001
309747587,20260417,37060000,influencer_001
309747587,20260508,33000000,influencer_001
309747587,20260512,33000000,influencer_001
309747587,20260511,67312500,influencer_001
309747587,20260425,0,influencer_001
309747587,20260516,495000,influencer_001
309748886,20260502,31950000,influencer_001
309748886,20260425,32100000,influencer_001
309748886,20260428,240000,influencer_001
309748886,20260513,0,influencer_001
309748886,20260510,10500,influencer_001
309748886,20260414,21000000,influencer_001
309748886,20260418,570000,influencer_001
309748886,20260419,120000,influencer_001
309748886,20260503,0,influencer_001
309748886,20260415,0,influencer_001
309748886,20260416,1725000,influencer_001
309748886,20260501,0,influencer_001
309748886,20260515,120000,influencer_001
309748886,20260504,21000000,influencer_001
309748886,20260429,120000,influencer_001
309748886,20260505,255000,influencer_001
309748886,20260511,495000,influencer_001
309748886,20260509,10500000,influencer_001
309748886,20260430,480000,influencer_001
309748886,20260512,10875000,influencer_001
309748886,20260516,11070000,influencer_001
309748886,20260517,31500000,influencer_001
309748886,20260426,10506500,influencer_001
309753224,20260427,11245060,influencer_001
309753224,20260424,66477972,influencer_001
309753224,20260422,439199529,influencer_001
309753224,20260418,21701764,influencer_001
309753224,20260501,21100625,influencer_001
309753224,20260428,22576512,influencer_001
309753224,20260416,1263815,influencer_001
309753224,20260426,568953750,influencer_001
309753224,20260420,89141340,influencer_001
309753224,20260417,1124518682,influencer_001
309753224,20260419,10580901,influencer_001
309753224,20260423,10500000,influencer_001
309753224,20260429,374593,influencer_001
309753224,20260430,4035830,influencer_001
309753224,20260425,1092074144,influencer_001
309753224,20260421,49500,influencer_001
309753224,20260415,210000,influencer_001
309753292,20260424,10500000,influencer_001
309753292,20260430,115500000,influencer_001
309753292,20260429,10500000,influencer_001
309753292,20260425,10500000,influencer_001
309753292,20260428,27000000,influencer_001
309753292,20260422,163481050,influencer_001
309753292,20260417,16500000,influencer_001
309753292,20260418,10500000,influencer_001
309753292,20260423,21000000,influencer_001
309753292,20260420,44550000,influencer_001
309753292,20260421,360000,influencer_001
